,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,total_beds,price_per_person
83,3209752,a few days or more,0.0,,No,No,Tampines,1.34806,103.95858,Private room,1,1.0,1.0,98.0,Yes,13,0,0,4.85,4.92,5.0,4.85,4.85,4.85,4.69,No,0.46,1.0,98.0
84,3304326,,,,No,Yes,Tampines,1.34798,103.9617,Private room,1,1.0,1.0,89.0,Yes,10,0,0,4.75,4.86,4.63,4.88,4.88,4.88,4.63,Yes,0.11,1.0,89.0
85,3349976,,,,No,Yes,Pasir Ris,1.36449,103.95931,Private room,2,1.0,1.0,80.0,No,0,0,0,,,,,,,,No,,2.0,40.0
86,3667894,within an hour,100.0,97.0,No,Yes,Outram,1.28424,103.84275,Private room,1,1.0,1.0,69.0,Yes,2,0,0,4.0,4.0,3.5,4.5,4.5,5.0,4.0,No,0.06,1.0,69.0
87,3717196,within an hour,100.0,100.0,No,Yes,Outram,1.28497,103.84341,Hotel room,12,4.0,1.0,28.0,Yes,18,0,0,3.94,4.0,4.44,4.33,4.44,4.72,4.33,Yes,0.2,12.0,2.3333333333333335
88,3717217,within an hour,100.0,100.0,No,Yes,Outram,1.28341,103.84508,Private room,4,2.0,1.0,146.0,Yes,49,0,0,4.51,4.6,4.56,4.74,4.72,4.87,4.63,No,0.56,4.0,36.5
89,3790364,within a day,82.0,70.0,Yes,Yes,Geylang,1.3134,103.88646,Entire home/apt,2,1.0,1.0,82.0,Yes,26,0,0,4.85,4.88,4.8,4.92,4.88,4.48,4.8,No,0.3,1.0,41.0
90,3802621,,,,No,No,Rochor,1.30376,103.85923,Private room,1,8.0,1.0,58.0,No,20,0,0,4.7,4.85,4.6,4.9,4.75,4.95,4.65,No,0.27,1.0,58.0
91,3803160,,,,No,No,Rochor,1.30171,103.85959,Private room,3,8.0,1.0,90.0,No,6,0,0,4.0,4.83,4.33,4.83,5.0,5.0,4.17,No,0.07,1.0,30.0
92,3859180,within a day,82.0,70.0,Yes,Yes,Geylang,1.31403,103.8864,Entire home/apt,2,1.0,1.0,63.0,Yes,81,0,0,4.69,4.89,4.79,4.85,4.86,4.47,4.75,No,0.91,1.0,31.5
93,3863231,within a day,82.0,70.0,Yes,Yes,Geylang,1.31571,103.88657,Entire home/apt,2,1.0,1.0,85.0,Yes,67,1,0,4.85,4.88,4.87,4.95,4.88,4.56,4.73,No,0.75,1.0,42.5
94,3980202,,,,No,No,Rochor,1.30148,103.85813,Private room,2,8.0,1.0,58.0,No,28,0,0,4.43,4.78,4.22,4.93,4.93,4.59,4.63,No,0.32,1.0,29.0
95,3981252,within a day,100.0,0.0,No,No,Bedok,1.31786,103.9059,Private room,1,1.5,1.0,88.0,Yes,2,0,0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,No,0.02,1.0,88.0
96,3990431,,,,No,No,Rochor,1.30348,103.85969,Private room,1,8.0,1.0,58.0,No,10,0,0,4.3,4.6,4.1,4.9,4.9,4.7,4.3,No,0.13,1.0,58.0
97,4013186,,,,No,No,Outram,1.27795,103.84109,Private room,1,1.0,1.0,950.0,No,0,0,0,,,,,,,,No,,1.0,950.0
98,4017084,,,,No,No,Outram,1.28172,103.84074,Private room,2,1.0,1.0,50.0,Yes,0,0,0,,,,,,,,No,,1.0,25.0
99,4021128,a few days or more,0.0,0.0,No,No,Bukit Timah,1.3205,103.79424,Entire home/apt,2,1.0,1.0,175.0,Yes,8,0,0,5.0,5.0,5.0,5.0,5.0,4.43,4.71,No,0.12,1.0,87.5
100,4026199,within an hour,100.0,100.0,Yes,Yes,Tanglin,1.31595,103.8269,Entire home/apt,4,2.0,2.0,350.0,Yes,35,2,0,4.77,4.89,4.74,4.83,4.89,4.51,4.63,Yes,0.4,6.0,87.5
101,4054698,within an hour,100.0,100.0,No,Yes,Outram,1.28268,103.84463,Hotel room,12,4.0,1.0,28.0,Yes,49,0,0,4.4,4.54,4.4,4.53,4.4,4.79,4.49,Yes,0.57,12.0,2.3333333333333335
102,4069756,within an hour,100.0,100.0,No,Yes,Outram,1.283,103.84344,Hotel room,12,4.0,1.0,28.0,Yes,21,0,0,4.35,4.45,4.4,4.85,4.7,4.75,4.45,Yes,0.24,12.0,2.3333333333333335
103,4087935,a few days or more,0.0,0.0,No,Yes,Novena,1.31546,103.84117,Private room,2,1.0,1.0,89.0,Yes,14,0,0,4.79,4.69,4.54,4.92,4.77,4.83,4.62,No,0.16,1.0,44.5
104,4108082,a few days or more,0.0,8.0,No,Yes,Tanglin,1.29366,103.83006,Entire home/apt,5,1.5,2.0,130.0,Yes,312,0,0,4.59,4.59,4.41,4.93,4.93,4.78,4.6,No,3.57,6.0,26.0
105,4138944,within an hour,100.0,100.0,Yes,Yes,Tanglin,1.316,103.8281,Entire home/apt,2,1.0,,260.0,Yes,59,2,1,4.75,4.78,4.71,4.92,4.97,4.61,4.66,Yes,0.68,,130.0
106,4208317,within a day,100.0,,No,Yes,Bukit Timah,1.31904,103.77976,Entire home/apt,5,2.0,3.0,204.0,Yes,0,0,0,,,,,,,,No,,6.0,40.8
107,4252548,within a day,82.0,70.0,Yes,Yes,Geylang,1.31478,103.88757,Entire home/apt,2,1.0,1.0,84.0,Yes,66,0,0,4.79,4.92,4.92,4.89,4.91,4.56,4.8,No,0.76,1.0,42.0
108,4360679,within an hour,100.0,,No,Yes,Geylang,1.3111,103.8812,Private room,2,1.0,1.0,64.0,Yes,133,0,0,4.41,4.61,4.36,4.77,4.69,4.47,4.51,Yes,1.53,1.0,32.0
109,4360902,within an hour,100.0,,No,Yes,Geylang,1.31161,103.88124,Private room,2,1.0,1.0,64.0,Yes,210,0,0,4.21,4.35,4.3,4.73,4.61,4.26,4.36,Yes,2.42,1.0,32.0
110,4380000,within an hour,100.0,100.0,Yes,Yes,Newton,1.30689,103.83834,Private room,2,1.0,1.0,101.0,Yes,8,0,0,4.38,4.25,3.88,4.5,4.75,4.88,4.0,No,0.09,1.0,50.5
111,4412603,within an hour,98.0,49.0,Yes,Yes,Bedok,1.31289,103.93797,Entire home/apt,8,1.0,1.0,179.0,Yes,66,11,1,4.79,4.81,4.89,4.77,4.89,4.53,4.47,No,0.76,1.0,22.375
112,4441346,within a few hours,100.0,,Yes,Yes,Kallang,1.29997,103.88536,Entire home/apt,3,1.5,1.0,106.0,Yes,5,0,0,5.0,4.75,5.0,5.0,5.0,4.0,5.0,Yes,0.06,1.0,35.333333333333336
113,4450681,within an hour,100.0,100.0,Yes,Yes,Tanglin,1.31633,103.827194,Entire home/apt,3,2.5,2.0,320.0,Yes,16,0,0,4.69,4.88,4.56,4.93,4.88,4.25,4.5,Yes,0.19,4.0,106.66666666666667
114,4486217,within a day,100.0,0.0,No,No,Serangoon,1.38763,103.86942,Entire home/apt,2,1.0,,106.0,Yes,9,0,0,4.22,4.67,4.89,4.89,5.0,4.0,4.11,No,0.1,,53.0
115,4499317,within a few hours,98.0,84.0,Yes,Yes,Downtown Core,1.29489,103.85401,Private room,2,1.0,,196.0,Yes,124,33,0,4.77,4.78,4.77,4.82,4.89,4.89,4.69,Yes,1.43,,98.0
116,4514543,within an hour,100.0,0.0,No,Yes,Sembawang,1.45323,103.81729,Private room,2,1.0,1.0,128.0,Yes,0,0,0,,,,,,,,No,,1.0,64.0
117,4526703,a few days or more,0.0,,No,No,Kallang,1.30778,103.86171,Private room,1,1.0,1.0,100.0,Yes,6,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,0.07,1.0,100.0
118,4530362,,,,No,No,Outram,1.28129,103.84591,Private room,2,1.5,1.0,160.0,Yes,0,0,0,,,,,,,,No,,1.0,80.0
